week_start,source_file,source_sha256,source_url,imported_at,notes
2024-12-02,"en-1733682725-Weekly Market Bulletin 02 -06 December, 2024.pdf",963354a4d14a50348e3f354846a2cad795cd6bd69cd64e295e8b17b69e0a1267,,2026-07-02,
2024-12-09,"en-1734272828-Weekly Market Bulletin 09 -13 December, 2024-5.pdf",71e3917d22d6a381c2d18ca6af9b16123d9aa9f189c39b99c24ea78555047fa2,,2026-07-02,
2024-12-16,"en-1734724726-Weekly Market Bulletin 16 -20 December, 2024.pdf",002d4abea7f92b2f34b2172c960a56fe7cdbe88f1a88f86cdde3f276b09d3190,,2026-07-02,
2024-12-23,"en-1735990513-Weekly Market Bulletin 23 - 27 December, 2024.pdf",6f892b486b0b54fc45a1b390fa8c02b1bc2933371a9b93724675f7d0b5261004,,2026-07-02,
2024-12-30,"en-1735996997-Weekly Market Bulletin 30 December, 2024- 03 January, 2025.pdf",f350e03618e1dea06a553c51d76c0f265c8932e1cd8a34163161feb9af7ff078,,2026-07-02,
2025-01-06,"en-1737097546-Weekly Market Bulletin 06 - 10 January, 2025.pdf",83b58391e9da058b55a004907b55de80987aefa29cd96e39d7a5d36eca6b3d9e,,2026-07-02,
2025-01-13,"en-1737443667-Weekly Market Bulletin 13 - 17 January, 2025.pdf",b5855b4f9326c4360c166150f7ae9f30eab0270f67672ad82cc116e63ff6c1f5,,2026-07-02,
2025-01-20,"en-1737752663-Weekly Market Bulletin 20 - 24 January, 2025.pdf",a6cff4f767ccda3d080afc4b4d41653a663a2f2adca8213a36e1eb38c2d55ae1,,2026-07-02,
2025-01-27,"en-1738922144-Weekly Market Bulletin 27 - 31 January, 2025.pdf",cebaee2f844c099e3f13bbefd9d31859bfbaf8fec72f21931d33058ae794cf13,,2026-07-02,
2025-02-03,en-1739253639-Weekly Market Bulletin03 - 07 Februari 2025 (fn).pdf,de319f9c9a2efc7ae5a2b12a026e06e7ce0c41e9d4df067d9ba93bb446a32331,,2026-07-02,
2025-02-10,en-1740568560-Weekly Market Bulletin 10 - 14 February 2025.pdf,8502b369590b63753bed214d58be89470f403cfbe5577e90fca532482eaa4d0a,,2026-07-02,
2025-02-17,en-1740388200-Weekly Market Bulletin 17 - 21 February 2025.pdf,d74f5cec3516086f430228cd1d60de584129344b1175078cb27026ed665689b8,,2026-07-02,
