week_start,week_end,region,crop,price
2025-04-28,2025-05-02,Arusha,maize,800
2025-04-28,2025-05-02,Arusha,rice,2800
2025-04-28,2025-05-02,Arusha,beans,2700
2025-04-28,2025-05-02,Arusha,sorghum,1200
2025-04-28,2025-05-02,Arusha,bulrush_millet,900
2025-04-28,2025-05-02,Arusha,finger_millet,2200
2025-04-28,2025-05-02,Arusha,round_potato,900
2025-04-28,2025-05-02,Dar es Salaam,maize,1100
2025-04-28,2025-05-02,Dar es Salaam,rice,2600
2025-04-28,2025-05-02,Dar es Salaam,beans,3300
2025-04-28,2025-05-02,Dar es Salaam,sorghum,1400
2025-04-28,2025-05-02,Dar es Salaam,bulrush_millet,1100
2025-04-28,2025-05-02,Dar es Salaam,finger_millet,2600
2025-04-28,2025-05-02,Dar es Salaam,round_potato,1100
2025-04-28,2025-05-02,Dodoma,maize,800
2025-04-28,2025-05-02,Dodoma,rice,2800
2025-04-28,2025-05-02,Dodoma,beans,2900
2025-04-28,2025-05-02,Dodoma,sorghum,700
2025-04-28,2025-05-02,Dodoma,bulrush_millet,
2025-04-28,2025-05-02,Dodoma,finger_millet,
2025-04-28,2025-05-02,Dodoma,round_potato,1000
2025-04-28,2025-05-02,Geita,maize,800
2025-04-28,2025-05-02,Geita,rice,2400
2025-04-28,2025-05-02,Geita,beans,3100
2025-04-28,2025-05-02,Geita,sorghum,1600
2025-04-28,2025-05-02,Geita,bulrush_millet,1900
2025-04-28,2025-05-02,Geita,finger_millet,1900
2025-04-28,2025-05-02,Geita,round_potato,1000
2025-04-28,2025-05-02,Iringa,maize,800
2025-04-28,2025-05-02,Iringa,rice,2600
2025-04-28,2025-05-02,Iringa,beans,2800
2025-04-28,2025-05-02,Iringa,sorghum,1400
2025-04-28,2025-05-02,Iringa,bulrush_millet,1400
2025-04-28,2025-05-02,Iringa,finger_millet,2900
2025-04-28,2025-05-02,Iringa,round_potato,700
2025-04-28,2025-05-02,Kagera,maize,900
2025-04-28,2025-05-02,Kagera,rice,2300
2025-04-28,2025-05-02,Kagera,beans,2300
2025-04-28,2025-05-02,Kagera,sorghum,1600
2025-04-28,2025-05-02,Kagera,bulrush_millet,1600
2025-04-28,2025-05-02,Kagera,finger_millet,2600
2025-04-28,2025-05-02,Kagera,round_potato,900
